"","id","prov","year","hcr","vars","n","x","pop"
"1","CASALECCHIO DI RENO","BO",2014,0.0404,9.090478336e-05,42,-0.2624,108261
"2","CITTA' DI BOLOGNA","BO",2014,0.0825,6.404000625e-05,285,-8e-04,371151
"3","IMOLA","BO",2014,0.1033,0.00031202749449,49,-0.0522,130007
"4","PIANURA EST","BO",2014,0.0633,0.000102576384,190,-0.4007,154213
"5","PIANURA OVEST","BO",2014,0.0625,0.00015625,10,-0.2277,80951
"6","PORRETTA TERME","BO",2014,0.1276,0.00066436093504,26,-0.4434,56428
"7","SAN LAZZARO DI SAVENA","BO",2014,0.0562,0.00013664674816,126,-0.4714,75042
"8","CENTRO-NORD","FE",2014,0.0886,0.00011876204484,144,0.0363,174341
"9","OVEST","FE",2014,0.0926,0.00050633100324,10,-0.0692,77439
"10","SUD-EST","FE",2014,0.1031,0.00028241810809,10,-0.1354,101076
"11","CESENA - VALLE DEL SAVIO","FC",2014,0.1543,0.00046000383529,122,0.1935,116326
"12","FORLI'","FC",2014,0.1636,0.00031799448976,75,0.1065,184899
"13","RUBICONE","FC",2014,0.1835,0.00089463801025,10,0.1673,89452
"14","CARPI","MO",2014,0.08,0.0002262016,55,-0.076,101929
"15","CASTELFRANCO EMILIA","MO",2014,0.0921,0.00031596129009,119,-0.4297,72885
"16","MIRANDOLA","MO",2014,0.1214,0.00065614871716,60,-0.0106,85738
"17","MODENA","MO",2014,0.0774,0.000153363456,219,-0.1718,179095
"18","PAVULLO NEL FRIGNANO","MO",2014,0.0794,0.00035410959684,65,-0.0275,40715
"19","SASSUOLO","MO",2014,0.1021,0.00036844034704,121,0.0573,117478
"20","VIGNOLA","MO",2014,0.1215,0.00040190225625,142,0.3248,87982
"21","FIDENZA","PR",2014,0.0727,0.00015454716489,112,0.0081,101903
"22","PARMA","PR",2014,0.0631,6.523469824e-05,227,-0.3289,205150
"23","SUD EST","PR",2014,0.0682,0.00024391567684,57,0.0859,74189
"24","VALLI TARO E CENO","PR",2014,0.1146,0.00084729895056,10,-0.0992,45922
"25","CITTA' DI PIACENZA","PC",2014,0.1055,0.000250430625,57,0.0591,100195
"26","LEVANTE","PC",2014,0.1057,0.000218980804,130,0.2166,108140
"27","PONENTE","PC",2014,0.1073,0.00051745330576,10,0.5085,76105
"28","FAENZA","RA",2014,0.1505,0.00050285820025,83,0.4293,87920
"29","LUGO","RA",2014,0.0918,0.00025514311824,61,-0.1811,102068
"30","RAVENNA","RA",2014,0.0904,9.8883136e-05,108,-0.1847,194440
"31","CASTELNUOVO NE' MONTI","RE",2014,0.116,0.0005654884,53,0.3322,33868
"32","CORREGGIO","RE",2014,0.0944,0.00046732062976,53,0.4038,54900
"33","GUASTALLA","RE",2014,0.0922,0.00048557648164,10,-0.1872,70978
"34","MONTECCHIO","RE",2014,0.1003,0.00076633741584,10,0.2572,61584
"35","REGGIO EMILIA","RE",2014,0.1684,0.00026135248896,173,0.5719,216871
"36","SCANDIANO","RE",2014,0.0691,0.00031537142569,137,-0.1297,79571
"37","RICCIONE","RN",2014,0.1341,0.00068379635025,10,-0.0832,109992
"38","RIMINI","RN",2014,0.102,0.000178543044,198,0.0672,212036
"39","CASALECCHIO DI RENO","BO",2015,0.0382,0.000102475129,42,-0.2181,108744
"40","CITTA' DI BOLOGNA","BO",2015,0.0737,6.453390889e-05,285,-0.2361,380635
"41","IMOLA","BO",2015,0.0961,0.00032640926224,49,-0.0641,131913
"42","PIANURA EST","BO",2015,0.057,0.000100641024,190,-0.2159,155916
"43","PIANURA OVEST","BO",2015,0.0771,0.00051381102276,10,-0.4102,81306
"44","PORRETTA TERME","BO",2015,0.1112,0.00055575233536,26,-0.5435,56308
"45","SAN LAZZARO DI SAVENA","BO",2015,0.0855,0.000310217769,126,-0.2238,75859
"46","CENTRO-NORD","FE",2015,0.0624,0.00016845963264,144,-0.476,173791
"47","OVEST","FE",2015,0.0729,0.00052397956836,10,-0.0449,78041
"48","SUD-EST","FE",2015,0.1162,0.000683561025,10,-0.517,100891
"49","CESENA - VALLE DEL SAVIO","FC",2015,0.1373,0.00038011741156,122,0.0522,117288
"50","FORLI'","FC",2015,0.144,0.000293642496,75,0.4873,184859
"51","RUBICONE","FC",2015,0.1376,0.00089980801024,10,-0.039,90670
"52","CARPI","MO",2015,0.0998,0.000504227025,55,-0.0395,101770
"53","CASTELFRANCO EMILIA","MO",2015,0.1238,0.000496576656,119,0.0738,74087
"54","MIRANDOLA","MO",2015,0.0849,0.00035523956484,60,0.2871,85591
"55","MODENA","MO",2015,0.0663,0.00011822647824,219,-0.6204,179353
"56","PAVULLO NEL FRIGNANO","MO",2015,0.0729,0.00037602639396,65,0.0288,40796
"57","SASSUOLO","MO",2015,0.0883,0.00028443834409,121,-0.3556,118093
"58","VIGNOLA","MO",2015,0.0772,0.000215150224,142,0.1382,88686
"59","FIDENZA","PR",2015,0.0659,0.00014227479841,112,-0.2347,102802
"60","PARMA","PR",2015,0.0745,7.597737225e-05,227,-0.2262,207229
"61","SUD EST","PR",2015,0.046,0.000186650244,57,-0.3242,75161
"62","VALLI TARO E CENO","PR",2015,0.1021,0.00079408985616,10,0.116,45857
"63","CITTA' DI PIACENZA","PC",2015,0.0985,0.000242206969,57,0.2158,100843
"64","LEVANTE","PC",2015,0.0941,0.00020728224729,130,-0.0395,108702
"65","PONENTE","PC",2015,0.0969,0.000496710369,10,0.0535,76791
"66","FAENZA","RA",2015,0.1651,0.000613305225,83,0.5249,88190
"67","LUGO","RA",2015,0.0893,0.00025266374116,61,-0.2618,102552
"68","RAVENNA","RA",2015,0.1156,0.00014177188624,108,0.2833,195369
"69","CASTELNUOVO NE' MONTI","RE",2015,0.0897,0.00051910154244,53,0.1572,33765
"70","CORREGGIO","RE",2015,0.0775,0.00039670680625,53,0.0415,55664
"71","GUASTALLA","RE",2015,0.1012,0.00082022668816,10,0.1044,71604
"72","MONTECCHIO","RE",2015,0.0925,0.00077520480625,10,0.0059,61957
"73","REGGIO EMILIA","RE",2015,0.1424,0.00025436422144,173,0.2175,218988
"74","SCANDIANO","RE",2015,0.0925,0.00043316015625,137,-0.0816,80490
"75","RICCIONE","RN",2015,0.1415,0.00082509690025,10,0.2994,110541
"76","RIMINI","RN",2015,0.1413,0.00021594890304,198,0.7113,216385
"77","CASALECCHIO DI RENO","BO",2016,0.0469,0.00020866380304,42,-0.3149,110608
"78","CITTA' DI BOLOGNA","BO",2016,0.0681,8.203468329e-05,285,-0.298,384202
"79","IMOLA","BO",2016,0.0692,0.00026670809344,49,-0.2852,132857
"80","PIANURA EST","BO",2016,0.0636,0.0001617984,190,-0.1829,157411
"81","PIANURA OVEST","BO",2016,0.0685,0.000504811024,10,0.2295,82519
"82","PORRETTA TERME","BO",2016,0.1174,0.00080717355664,26,-0.0922,56735
"83","SAN LAZZARO DI SAVENA","BO",2016,0.0318,0.00010615593024,126,-0.8848,76838
"84","CENTRO-NORD","FE",2016,0.0643,0.00015083032969,144,0.385,175239
"85","OVEST","FE",2016,0.0768,0.00053438644224,10,-0.1387,78783
"86","SUD-EST","FE",2016,0.095,0.0005550736,10,0.1987,101079
"87","CESENA - VALLE DEL SAVIO","FC",2016,0.152,0.000439992576,122,0.2981,117424
"88","FORLI'","FC",2016,0.1504,0.000299151616,75,0.073,187641
"89","RUBICONE","FC",2016,0.14,0.0008809024,10,0.3378,91571
"90","CARPI","MO",2016,0.115,0.000566678025,55,0.0372,104083
"91","CASTELFRANCO EMILIA","MO",2016,0.0852,0.00028746524304,119,-0.1756,75220
"92","MIRANDOLA","MO",2016,0.0822,0.00037952494596,60,-0.0549,86044
"93","MODENA","MO",2016,0.0654,0.000130988025,219,-0.2242,184525
"94","PAVULLO NEL FRIGNANO","MO",2016,0.0702,0.00032549211396,65,-0.076,41069
"95","SASSUOLO","MO",2016,0.0526,0.000166074769,121,-0.1524,119908
"96","VIGNOLA","MO",2016,0.0643,0.00022445732761,142,0.2842,90069
"97","FIDENZA","PR",2016,0.0599,0.00014495919201,112,-0.2561,103837
"98","PARMA","PR",2016,0.0712,6.939556416e-05,227,0.3329,217645
"99","SUD EST","PR",2016,0.0295,0.00011978208025,57,-0.539,75927
"100","VALLI TARO E CENO","PR",2016,0.1112,0.00085530511936,10,-0.146,45767
"101","CITTA' DI PIACENZA","PC",2016,0.1011,0.00027490966416,57,0.0211,102404
"102","LEVANTE","PC",2016,0.0697,0.00020217427344,130,0.1953,108815
"103","PONENTE","PC",2016,0.09,0.0005225796,10,-0.0972,77264
"104","FAENZA","RA",2016,0.1086,0.00039496792644,83,0.0277,89184
"105","LUGO","RA",2016,0.0748,0.00029340949264,61,-0.008,103194
"106","RAVENNA","RA",2016,0.1008,0.00012745506816,108,0.2376,199980
"107","CASTELNUOVO NE' MONTI","RE",2016,0.1102,0.00071120355856,53,0.2125,33874
"108","CORREGGIO","RE",2016,0.0832,0.00037258264576,53,-0.0888,56629
"109","GUASTALLA","RE",2016,0.1091,0.00083587483225,10,-0.2965,72116
"110","MONTECCHIO","RE",2016,0.0995,0.00078173364025,10,-0.3207,62543
"111","REGGIO EMILIA","RE",2016,0.122,0.0001968409,173,0.1594,227788
"112","SCANDIANO","RE",2016,0.1074,0.00047066434704,137,0.2813,81308
"113","RICCIONE","RN",2016,0.1379,0.00078364723969,10,0.4104,113097
"114","RIMINI","RN",2016,0.1182,0.00020455292484,198,0.2327,221157
"115","CASALECCHIO DI RENO","BO",2017,0.0733,0.00026718844681,42,-0.3191,110861
"116","CITTA' DI BOLOGNA","BO",2017,0.1005,9.7002801e-05,285,0.1082,386181
"117","IMOLA","BO",2017,0.0691,0.00019483134724,49,-0.2307,133107
"118","PIANURA EST","BO",2017,0.0802,0.00015254226064,190,-0.2453,158189
"119","PIANURA OVEST","BO",2017,0.0789,0.00048110912964,10,0.1202,82537
"120","PORRETTA TERME","BO",2017,0.1376,0.00071259099136,26,0.1079,56395
"121","SAN LAZZARO DI SAVENA","BO",2017,0.0661,0.00020196673225,126,-0.0257,77053
"122","CENTRO-NORD","FE",2017,0.1105,0.00016148055625,144,0.0885,175201
"123","OVEST","FE",2017,0.0989,0.000517426009,10,0.3089,78425
"124","SUD-EST","FE",2017,0.1197,0.00055605884481,10,0.0721,100447
"125","CESENA - VALLE DEL SAVIO","FC",2017,0.1329,0.00031243037049,122,0.7395,117086
"126","FORLI'","FC",2017,0.1265,0.000215326276,75,0.4237,187145
"127","RUBICONE","FC",2017,0.1399,0.00081450876816,10,0.3757,91666
"128","CARPI","MO",2017,0.106,0.000376282404,55,-0.1219,104897
"129","CASTELFRANCO EMILIA","MO",2017,0.0899,0.00032005567801,119,0.1349,75522
"130","MIRANDOLA","MO",2017,0.0945,0.000393824025,60,-0.0995,85587
"131","MODENA","MO",2017,0.0805,0.000134374464,219,-0.0256,185148
"132","PAVULLO NEL FRIGNANO","MO",2017,0.0923,0.00046250373481,65,-0.1354,40964
"133","SASSUOLO","MO",2017,0.103,0.000328624384,121,0.3155,119848
