"","id","prov","year","hcr","vars","n","x","pop"
"77","CASALECCHIO DI RENO","BO",2016,0.0469,0.00020866380304,42,-0.3149,110608
"78","CITTA' DI BOLOGNA","BO",2016,0.0681,8.203468329e-05,285,-0.298,384202
"79","IMOLA","BO",2016,0.0692,0.00026670809344,49,-0.2852,132857
"80","PIANURA EST","BO",2016,0.0636,0.0001617984,190,-0.1829,157411
"81","PIANURA OVEST","BO",2016,0.0685,0.000504811024,10,0.2295,82519
"82","PORRETTA TERME","BO",2016,0.1174,0.00080717355664,26,-0.0922,56735
"83","SAN LAZZARO DI SAVENA","BO",2016,0.0318,0.00010615593024,126,-0.8848,76838
"84","CENTRO-NORD","FE",2016,0.0643,0.00015083032969,144,0.385,175239
"85","OVEST","FE",2016,0.0768,0.00053438644224,10,-0.1387,78783
"86","SUD-EST","FE",2016,0.095,0.0005550736,10,0.1987,101079
"87","CESENA - VALLE DEL SAVIO","FC",2016,0.152,0.000439992576,122,0.2981,117424
"88","FORLI'","FC",2016,0.1504,0.000299151616,75,0.073,187641
"89","RUBICONE","FC",2016,0.14,0.0008809024,10,0.3378,91571
"90","CARPI","MO",2016,0.115,0.000566678025,55,0.0372,104083
"91","CASTELFRANCO EMILIA","MO",2016,0.0852,0.00028746524304,119,-0.1756,75220
"92","MIRANDOLA","MO",2016,0.0822,0.00037952494596,60,-0.0549,86044
"93","MODENA","MO",2016,0.0654,0.000130988025,219,-0.2242,184525
"94","PAVULLO NEL FRIGNANO","MO",2016,0.0702,0.00032549211396,65,-0.076,41069
"95","SASSUOLO","MO",2016,0.0526,0.000166074769,121,-0.1524,119908
"96","VIGNOLA","MO",2016,0.0643,0.00022445732761,142,0.2842,90069
"97","FIDENZA","PR",2016,0.0599,0.00014495919201,112,-0.2561,103837
"98","PARMA","PR",2016,0.0712,6.939556416e-05,227,0.3329,217645
"99","SUD EST","PR",2016,0.0295,0.00011978208025,57,-0.539,75927
"100","VALLI TARO E CENO","PR",2016,0.1112,0.00085530511936,10,-0.146,45767
"101","CITTA' DI PIACENZA","PC",2016,0.1011,0.00027490966416,57,0.0211,102404
"102","LEVANTE","PC",2016,0.0697,0.00020217427344,130,0.1953,108815
"103","PONENTE","PC",2016,0.09,0.0005225796,10,-0.0972,77264
"104","FAENZA","RA",2016,0.1086,0.00039496792644,83,0.0277,89184
"105","LUGO","RA",2016,0.0748,0.00029340949264,61,-0.008,103194
"106","RAVENNA","RA",2016,0.1008,0.00012745506816,108,0.2376,199980
"107","CASTELNUOVO NE' MONTI","RE",2016,0.1102,0.00071120355856,53,0.2125,33874
"108","CORREGGIO","RE",2016,0.0832,0.00037258264576,53,-0.0888,56629
"109","GUASTALLA","RE",2016,0.1091,0.00083587483225,10,-0.2965,72116
"110","MONTECCHIO","RE",2016,0.0995,0.00078173364025,10,-0.3207,62543
"111","REGGIO EMILIA","RE",2016,0.122,0.0001968409,173,0.1594,227788
"112","SCANDIANO","RE",2016,0.1074,0.00047066434704,137,0.2813,81308
"113","RICCIONE","RN",2016,0.1379,0.00078364723969,10,0.4104,113097
"114","RIMINI","RN",2016,0.1182,0.00020455292484,198,0.2327,221157
