"id","prov","year","hcr","vars","domain_sizes","x"
"CASALECCHIO DI RENO","BO",2008,0.0884,0.00020508531264,42,-0.0743977299099832
"CITTA' DI BO","BO",2008,0.079,6.6210769e-05,285,0.00574998786993716
"IMOLA","BO",2008,0.0848,0.00030515897344,49,0.0395545289382592
"PIANURA EST","BO",2008,0.0631,0.00013774777956,190,0.377730634759764
"PIANURA OVEST","BO",2008,0.0435,0.000124010496,10,-0.351468802381961
"PORRETTA TERME","BO",2008,0.1225,0.00065548800625,26,0.13151959290398
"SAN LAZZARO DI SAVENA","BO",2008,0.0819,0.00021014271369,126,0.317025112603371
"CENTRO-NORD","FE",2008,0.0731,8.084347569e-05,144,0.133610557557225
"OVEST","FE",2008,0.0711,0.00038230025625,10,0.103234136303379
"SUD-EST","FE",2008,0.0982,0.00018631704004,10,0.165869390852902
"CESENA - VALLE DEL SAVIO","FC",2008,0.0959,0.00025038315225,122,0.0726736479230879
"FORLI'","FC",2008,0.0827,0.00012098020081,75,0.0496143216245879
"RUBICONE","FC",2008,0.0577,0.00019336849249,10,-0.706870214943691
"CARPI","MO",2008,0.0736,0.00020387270656,55,-0.213771956178168
"CASTELFRANCO EMILIA","MO",2008,0.0925,0.000391842025,119,-0.190052474268285
"MIRANDOLA","MO",2008,0.0951,0.00053403974649,60,0.41629071650093
"MODENA","MO",2008,0.111,0.000244953801,219,0.132251346962273
"PAVULLO NEL FRIGNANO","MO",2008,0.138,0.0005832225,65,0.324856189413609
"SASSUOLO","MO",2008,0.1126,0.00043863438096,121,0.41724729187873
"VIGNOLA","MO",2008,0.0898,0.000390299536,142,-0.098014262535342
"FIDENZA","PR",2008,0.1359,0.00051507664209,112,0.13577190811521
"PARMA","PR",2008,0.0946,0.00013319929744,227,-0.0650286601429975
"SUD EST","PR",2008,0.0848,0.00041075939584,57,-0.08578555872875
"VALLI TARO E CENO","PR",2008,0.1184,0.00054404629504,10,0.187131455267729
"CITTA' DI PIACENZA","PC",2008,0.0771,0.0002377764,57,-0.171774000601683
"LEVANTE","PC",2008,0.0731,0.00021161229961,130,-0.268500097803993
"PONENTE","PC",2008,0.0788,0.00038809,10,0.38207360133167
"FAENZA","RA",2008,0.0687,0.00018690444369,83,-0.831857918177685
"LUGO","RA",2008,0.0617,0.0001522756,61,-0.257631883949247
"RAVENNA","RA",2008,0.0924,8.709368976e-05,108,0.334057741047963
"CASTELNUOVO NE' MONTI","RE",2008,0.1123,0.00107528903056,53,0.895646444016248
"CORREGGIO","RE",2008,0.0698,0.00048036365584,53,0.0915286571664071
"GUASTALLA","RE",2008,0.0836,0.000369715984,10,-0.396197298803774
"MONTECCHIO","RE",2008,0.0826,0.00033625290384,10,0.352422668126607
"RE EMILIA","RE",2008,0.0587,7.960922176e-05,173,0.330160015274349
"SCANDIANO","RE",2008,0.0699,0.00022585581225,137,-0.43378951444208
"RICCIONE","RN",2008,0.1576,0.00038809,10,0.342013480333535
"RIMINI","RN",2008,0.1403,9.92274976899999e-05,198,0.161107857477724
"CASALECCHIO DI RENO","BO",2009,0.0622,0.00013528946596,42,-0.0503042150054845
"CITTA' DI BO","BO",2009,0.0737,5.43169e-05,285,0.212935660445278
"IMOLA","BO",2009,0.0765,0.0002832489,49,0.199563592880254
"PIANURA EST","BO",2009,0.0431,6.426587556e-05,190,-0.118711952776898
"PIANURA OVEST","BO",2009,0.0489,0.00011678908761,10,0.00762732626734647
"PORRETTA TERME","BO",2009,0.1293,0.00060990723369,26,0.0772098672118494
"SAN LAZZARO DI SAVENA","BO",2009,0.0961,0.00026376683281,126,-0.15508550393988
"CENTRO-NORD","FE",2009,0.0875,8.441015625e-05,144,-0.0281586904929639
"OVEST","FE",2009,0.0807,0.00038455602201,10,-0.148209783644101
"SUD-EST","FE",2009,0.1034,0.00017244417124,10,-0.0899588559639427
"CESENA - VALLE DEL SAVIO","FC",2009,0.1056,0.0002509056,122,-0.538590644066421
"FORLI'","FC",2009,0.0978,0.00012870448704,75,-0.449879139033414
"RUBICONE","FC",2009,0.1101,0.00032603358096,10,0.0582962390673234
"CARPI","MO",2009,0.0705,0.00019881,55,-0.526581004840519
"CASTELFRANCO EMILIA","MO",2009,0.0826,0.00020656588176,119,-0.281255410683085
"MIRANDOLA","MO",2009,0.0889,0.00046667664729,60,-0.102154490942919
"MODENA","MO",2009,0.0974,0.00017034426256,219,-0.0059284355375076
"PAVULLO NEL FRIGNANO","MO",2009,0.1381,0.00052553728516,65,0.447308456976846
"SASSUOLO","MO",2009,0.0927,0.00026316950625,121,-0.234038144294696
"VIGNOLA","MO",2009,0.0844,0.00031115548816,142,-0.492401046168061
"FIDENZA","PR",2009,0.0928,0.00042442592256,112,-0.0196147353214884
"PARMA","PR",2009,0.1072,0.00013404082176,227,0.123681946931209
"SUD EST","PR",2009,0.0869,0.00029905130761,57,0.0291355909692671
"VALLI TARO E CENO","PR",2009,0.1049,0.00040143728881,10,-0.282511394217473
"CITTA' DI PIACENZA","PC",2009,0.083,0.000228191236,57,-0.152488770761527
"LEVANTE","PC",2009,0.1221,0.00024045774489,130,-0.063003186547527
"PONENTE","PC",2009,0.1023,0.00036988520976,10,-0.292480561688906
"FAENZA","RA",2009,0.1091,0.00037712863204,83,0.196411453319189
"LUGO","RA",2009,0.0581,0.00016636356324,61,-0.292371406348375
"RAVENNA","RA",2009,0.0958,0.00011512431616,108,0.230227965435925
"CASTELNUOVO NE' MONTI","RE",2009,0.139,0.000926654481,53,0.165603280282144
"CORREGGIO","RE",2009,0.0785,0.000525418084,53,-0.431600735083524
"GUASTALLA","RE",2009,0.0913,0.00046820737161,10,-0.253801709306327
"MONTECCHIO","RE",2009,0.0859,0.00059934384225,10,-0.150337477098743
"RE EMILIA","RE",2009,0.0544,7.294526464e-05,173,-0.109073052062843
"SCANDIANO","RE",2009,0.0713,0.00020131920769,137,-0.172181184125618
"RICCIONE","RN",2009,0.1698,0.000415181376,10,0.453228276770068
